path,file_type,purpose,runtime_referenced,owner_reference,status,risk,recommended_action,target_phase
.local-backups/final-frontend-safety-sweep/styles_vvip-visual-trust-layer.css.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/terms-of-service.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/auth-flow.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/clerk-private-profile.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/clerk-test.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/data-deletion.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/index.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/privacy-policy.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/private-profile.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/public-profile.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/reset-password.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/scripts_profile-loader.js.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/scripts_require-auth.js.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/scripts_supabase-auth-bridge.js.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/scripts_supabase-config.js.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/scripts_vvip-safe-ux-guard.js.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/styles_vvip-visual-trust-layer.css.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/audit/terms-of-service.html.before-audit.20260709-190656,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/phase-1/clerk-test.html.before-phase-1.20260709-191310,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/phase-1/docs_VVIP_TIGER_NAVIGATION_BUTTON_AUDIT.md.before-phase-1.20260709-191310,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/navigation-button-stability/phase-1/public-profile.html.before-phase-1.20260709-191310,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/auth-flow.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/clerk-private-profile.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/clerk-test.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/data-deletion.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/index.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/phase-1/docs_VVIP_TIGER_PAGE_FLOW_USER_JOURNEY_AUDIT.md.before-phase-1.20260709-192625,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/phase-1/private-profile.html.before-phase-1.20260709-192625,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/phase-1/styles_vvip-visual-trust-layer.css.before-phase-1.20260709-192625,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/privacy-policy.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/private-profile.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/public-profile.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/reset-password.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/scripts_profile-loader.js.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/scripts_require-auth.js.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/scripts_supabase-auth-bridge.js.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/scripts_supabase-config.js.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/scripts_vvip-safe-ux-guard.js.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/styles_vvip-visual-trust-layer.css.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/page-flow-user-journey-audit/terms-of-service.html.before-audit.20260709-192244,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/clerk-private-profile.html.before-profile-ux-polish.20260709-185253,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/clerk-private-profile.html.before-phase-1.20260709-185542,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/clerk-private-profile.html.before-phase-1.20260709-190012,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/clerk-private-profile.html.before-phase-1.20260709-190026,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/private-profile.html.before-phase-1.20260709-185542,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/private-profile.html.before-phase-1.20260709-190012,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/private-profile.html.before-phase-1.20260709-190026,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/public-profile.html.before-phase-1.20260709-185542,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/public-profile.html.before-phase-1.20260709-190012,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/public-profile.html.before-phase-1.20260709-190026,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/phase-1/styles/vvip-visual-trust-layer.css.before-phase-1.20260709-190026,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/private-profile.html.before-profile-ux-polish.20260709-185253,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/profile-ux-polish/public-profile.html.before-profile-ux-polish.20260709-185253,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/clerk-test.html.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/index.html.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/clerk-test.html.before-phase-1.20260709-193654,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/clerk-test.html.before-phase-1.20260709-193749,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/clerk-test.html.before-phase-1.20260709-193854,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/docs_VVIP_TIGER_PUBLIC_PAGES_CONSISTENCY_AUDIT.md.before-phase-1.20260709-193654,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/docs_VVIP_TIGER_PUBLIC_PAGES_CONSISTENCY_AUDIT.md.before-phase-1.20260709-193750,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/docs_VVIP_TIGER_PUBLIC_PAGES_CONSISTENCY_AUDIT.md.before-phase-1.20260709-193854,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/styles_vvip-visual-trust-layer.css.before-phase-1.20260709-193654,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/styles_vvip-visual-trust-layer.css.before-phase-1.20260709-193749,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/phase-1/styles_vvip-visual-trust-layer.css.before-phase-1.20260709-193854,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/public-profile.html.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/reset-password.html.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/scripts_profile-loader.js.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/scripts_require-auth.js.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/scripts_supabase-auth-bridge.js.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/scripts_supabase-config.js.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/scripts_vvip-safe-ux-guard.js.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/public-pages-consistency-audit/styles_vvip-visual-trust-layer.css.before-audit.20260709-193516,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.vscode/launch.json,json,repository asset,no,no,active,low,review_in_target_phase,deferred
.vscode/launch.json.backup-before-public-profile-url,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.vscode/mcp.json,json,repository asset,no,no,active,low,review_in_target_phase,deferred
.vscode/settings.json,json,repository asset,no,no,active,low,review_in_target_phase,deferred
20260708_vvip_tiger_profiles_remove_legacy_auth_uid_policies.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
ACCOUNT-CHOOSER-SPEC.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
ADMIN-ROLE-SPEC.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
ADMIN-SETUP-GUIDE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
ADMIN-SETUP.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
AGENTS.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
ANDROID-HTTPS-DEPLOY.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
CNAME,other,repository asset,no,no,active,low,review_in_target_phase,deferred
DOCUMENTATION-INDEX.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
EMAIL-TEMPLATE-VARIABLES.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
EMAIL-VERIFICATION-SETUP.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
FEATURE-VERIFICATION.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
FEATURES-COMPLETE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
FINAL-VERIFICATION.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
FIREBASE-EMAIL-SETUP.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
GOOGLE-ONE-TAP-SETUP.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
IMPLEMENTATION_CHECKLIST.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
PHASE-3-READINESS-CHECK.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
PRODUCT-REQUIREMENTS-ADDENDUM.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
PROJECT-SUMMARY.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
QA-FINAL-REPORT.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
README.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
RLS-EMAIL-VERIFICATION-POLICIES.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
RLS-IMPLEMENTATION-GUIDE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
RLS-POLICIES.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
RLS-QUICK-REFERENCE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
SESSION-SUMMARY.txt,other,repository asset,no,no,active,low,review_in_target_phase,deferred
SETUP-GUIDE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
SUPABASE-EDGE-OTP-GUIDE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
TEST-ACCOUNTS-GUIDE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
TIGER-AutoParts-Prompts.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
UNIFIED-PLATFORM-STATUS.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
USER-GUIDE.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
VVIP-AUTH-SYSTEM-SPEC.md,markdown,repository asset,no,no,active,low,review_in_target_phase,deferred
approved/FINAL-QA-APPROVAL.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/MOBILE-PUBLIC-APPROVED-README.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/PRIVATE-PROFILE-APPROVED-README.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/auth-clerk-index-before-profile-button-fix-20260707.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/auth-clerk-index-before-vvip-gate-login-20260707.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/clerk-private-profile-before-official-ui-20260707.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/clerk-private-profile-before-supabase-bridge-20260707.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/clerk-private-profile-before-tiger-care-card-20260707.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/clerk-private-profile-before-vip-membership-center-20260707.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/enhanced-components.final-approved.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/index-before-supabase-auth-20260704-191914.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/index-before-supabase-auth-20260704-192024.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/index-before-vvip-gate-login-20260707.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/index-supabase-auth-approved.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/index-supabase-auth-final.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/legacy-auth-redirect-7-1/private-profile-before-redirect-20260708.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/mobile-public-buttons-audit-report.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/nav-cleanup-7-1/public-profile-before-private-link-cleanup-20260708.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/nav-cleanup-7-1/vvip-identity-before-clarity-patch-20260708.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/private-desktop-audit.txt,other,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/private-mobile-audit.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/private-profile-auth-guard-approved.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/private-profile-auth-guard-final.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/private-profile-before-auth-guard.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/private-profile-buttons-audit-report.txt,other,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/private-profile.desktop-approved.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/private-profile.final-approved.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/public-desktop-audit.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/public-mobile-audit.md,markdown,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/public-profile.final-approved.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/public-profile.mobile-approved.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/require-auth-approved.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/require-auth-final.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/social-ui-before-force-post-options-menu-20260708.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/social-ui-before-post-options-menu-tiger-care-20260707.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/social-ui-before-tiger-care-feedback-fix-20260708.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/styles-before-post-options-menu-tiger-care-20260707.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/styles-before-tiger-care-feedback-fix-20260708.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/styles-before-vvip-gate-login-20260707.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/supabase-auth-bridge-approved.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/supabase-auth-bridge-final.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/supabase-config-approved.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/supabase-config-final.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/sw-before-post-options-cache-fix-20260708.js,javascript,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/visual-identity-pass-7-1/enhanced-components-before-visual-identity-20260708.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/visual-identity-pass-7-1/public-profile-before-visual-identity-20260708.html,html,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
approved/visual-identity-pass-7-1/styles-before-visual-identity-20260708.css,css,approved snapshot archive,no,no,duplicate,low,keep_as_archive_and_exclude_from_runtime_paths,P01
auth-clerk-index.js,javascript,javascript logic,yes,no,active,medium,review_in_target_phase,deferred
auth-flow.html,html,web page,no,no,active,medium,review_in_target_phase,P02-P13
auth-supabase.js,javascript,javascript logic,no,no,active,medium,review_in_target_phase,deferred
auth.js,javascript,javascript logic,no,no,active,medium,review_in_target_phase,deferred
backups/clerk-private-profile.before-atomic-profile-resolver.html,html,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
backups/clerk-private-profile.before-jwt-rls-bridge.html,html,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
backups/clerk-private-profile.before-pr15-launch-hardening.html,html,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
backups/clerk-private-profile.before-profile-resilience-shell.html,html,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
backups/clerk-private-profile.before-self-healing-profile-gateway.html,html,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
backups/visual-trust-layer/clerk-private-profile.html.before-visual-trust-layer,other,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P01
backups/visual-trust-layer/index.html.before-visual-trust-layer,other,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P01
backups/visual-trust-layer/phase-2-2/public-profile.before-readable-lock.20260709-184736.html,html,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P02-P13
backups/visual-trust-layer/phase-2-2/vvip-visual-trust-layer.before-readable-lock.20260709-184736.css,css,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P01
backups/visual-trust-layer/private-profile.html.before-visual-trust-layer,other,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P01
backups/visual-trust-layer/styles.css.before-visual-trust-layer,other,backup snapshot archive,no,no,obsolete,low,keep_as_archive_and_exclude_from_runtime_paths,P01
clerk-private-profile.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
clerk-test.html,html,web page,no,no,active,low,review_in_target_phase,P02-P13
data-deletion.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
docs/PROFILE_RESILIENCE_SHELL_CLOSURE.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_AUTH_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_AUTH_SCAN.txt,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_CLERK_PROFILE_TABLE_LOG.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_CLERK_RLS_APPLY_LOG.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_CLERK_SUPABASE_LINK_SUCCESS.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_DB_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
