track	indicator	file	line	preliminary_risk	reason	recommended_next_action
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-QUICK-REFERENCE.md	100	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-QUICK-REFERENCE.md	132	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-QUICK-REFERENCE.md	134	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	SETUP-GUIDE.md	23	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	SETUP-GUIDE.md	24	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	SETUP-GUIDE.md	31	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	SETUP-GUIDE.md	102	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	SETUP-GUIDE.md	104	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	SUPABASE-EDGE-OTP-GUIDE.md	43	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	TIGER-AutoParts-Prompts.md	26	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	UNIFIED-PLATFORM-STATUS.md	19	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	VVIP-AUTH-SYSTEM-SPEC.md	52	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	VVIP-AUTH-SYSTEM-SPEC.md	53	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	VVIP-AUTH-SYSTEM-SPEC.md	62	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	59	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	61	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	66	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	67	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	111	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	59	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	61	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	66	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	67	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	111	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	59	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	61	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	66	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	67	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	111	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	59	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	61	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	66	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	67	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	111	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	59	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	61	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	66	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	67	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	111	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	8	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	12	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/nav-cleanup-7-1/vvip-identity-before-clarity-patch-20260708.css	31	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js	8	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js	12	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-force-post-options-menu-20260708.js	890	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-force-post-options-menu-20260708.js	891	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-force-post-options-menu-20260708.js	892	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-post-options-menu-tiger-care-20260707.js	671	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-post-options-menu-tiger-care-20260707.js	672	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-post-options-menu-tiger-care-20260707.js	673	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-tiger-care-feedback-fix-20260708.js	920	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-tiger-care-feedback-fix-20260708.js	921	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/social-ui-before-tiger-care-feedback-fix-20260708.js	922	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/styles-before-post-options-menu-tiger-care-20260707.css	203	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/styles-before-tiger-care-feedback-fix-20260708.css	203	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/styles-before-vvip-gate-login-20260707.css	203	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	33	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	71	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	79	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	85	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	87	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	109	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	153	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	33	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	71	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	79	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	85	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	87	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	109	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	153	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-config-approved.js	3	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-config-final.js	3	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	approved/sw-before-post-options-cache-fix-20260708.js	8	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/sw-before-post-options-cache-fix-20260708.js	12	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	82	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	84	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	89	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	90	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	134	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	approved/visual-identity-pass-7-1/styles-before-visual-identity-20260708.css	203	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	53	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	61	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	102	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	110	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	127	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	171	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	174	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	187	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	192	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	70	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	84	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	88	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	91	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	183	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	421	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	422	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	423	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	428	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	451	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	452	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	457	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	707	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	712	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	713	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	714	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	716	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	752	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	757	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	759	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	765	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	775	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	776	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	852	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-profile-resilience-shell.html	663	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-profile-resilience-shell.html	708	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
