task_code,phase_code,task_title,priority,wave,workflow_status,baseline_status,goal,user_benefit,platform_benefit,prerequisites,responsible_roles,estimate,reference_path
G03-02,G03,المراقبة والسجلات والتنبيهات,P1 — عالٍ,W0 — الأساس والأمان,backlog,لم يبدأ إنتاجيًا,تجميع الأخطاء والمقاييس والتتبعات.,حل أسرع للمشكلات التي تواجهه.,معرفة الأعطال قبل الشكاوى.,قرارات G03 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,DevOps/SRE وBackend (R)، Technical Lead (A)، Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/platform-runtime — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G03-03,G03,المهام الخلفية والطوابير,P1 — عالٍ,W0 — الأساس والأمان,backlog,لم يبدأ إنتاجيًا,فصل البريد والصور والإشعارات والمهام الثقيلة عن طلب المستخدم.,استجابة أسرع وعدم فقدان العمليات.,تحمل الأعطال وإعادة المحاولة.,قرارات G03 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,DevOps/SRE وBackend (R)، Technical Lead (A)، Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/platform-runtime — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G04-01,G04,توحيد Clerk كنظام الهوية الوحيد,P0 — حرج,W0 — الأساس والأمان,backlog,قيد التنفيذ — إصلاح Clerk مدمج والجسر الكامل غير مغلق,إلغاء مسارات الدخول المتضاربة واعتماد البريد وGoogle.,دخول واضح واستعادة كلمة المرور بسهولة.,خفض أخطاء الحسابات والدعم.,قرارات G04 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Security (R)، Technical Lead (A)، Frontend/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/identity — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G04-02,G04,ربط Clerk بملف Supabase الداخلي,P0 — حرج,W0 — الأساس والأمان,backlog,قيد التنفيذ — إصلاح Clerk مدمج والجسر الكامل غير مغلق,إنشاء ملف واحد ثابت لكل هوية خارجية.,يحتفظ المستخدم ببياناته عبر الأجهزة.,سلامة العلاقات والاشتراكات والإعلانات.,قرارات G04 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Security (R)، Technical Lead (A)، Frontend/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/identity — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G04-03,G04,MFA وجلسات الإدارة,P0 — حرج,W0 — الأساس والأمان,backlog,قيد التنفيذ — إصلاح Clerk مدمج والجسر الكامل غير مغلق,رفع حماية الحسابات الإدارية.,يحمي بيانات المستخدم من اختراق موظف.,تقليل خطر الاستيلاء على لوحة الإدارة.,قرارات G04 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Security (R)، Technical Lead (A)، Frontend/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/identity — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G05-01,G05,اعتماد مخطط قاعدة البيانات,P0 — حرج,W0 — الأساس والأمان,backlog,متوقف — تدقيق Supabase البعيد وRLS/Storage لم يغلق,تحويل التصميم إلى schema رسمي قابل للترحيل.,بيانات مستقرة وسليمة.,قاعدة قابلة للنمو والتدقيق.,قرارات G05 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Database Security (R)، Technical Lead (A)، QA/DevOps (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/data-security — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G05-02,G05,تطبيق RLS الشامل,P0 — حرج,W0 — الأساس والأمان,backlog,متوقف — تدقيق Supabase البعيد وRLS/Storage لم يغلق,تحديد من يقرأ ويكتب كل صف.,خصوصية فعلية بين الحسابات.,منع التسريب حتى لو تم تجاوز الواجهة.,قرارات G05 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Database Security (R)، Technical Lead (A)، QA/DevOps (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/data-security — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G05-03,G05,سياسات التخزين والنسخ الاحتياطي,P0 — حرج,W0 — الأساس والأمان,backlog,متوقف — تدقيق Supabase البعيد وRLS/Storage لم يغلق,حماية الصور والملفات وتجربة الاستعادة.,لا تظهر الملفات الخاصة لغير أصحابها.,استمرارية العمل بعد الحذف أو العطل.,قرارات G05 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Database Security (R)، Technical Lead (A)، QA/DevOps (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/data-security — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G06-01,G06,قاعدة بيانات الدول والمناطق,P1 — عالٍ,W1 — المنتج الأساسي,backlog,مخطط وغير منفذ كنظام عالمي,تمثيل الدول والمدن والمناطق بشكل معياري.,اختيار موقع صحيح وبحث محلي دقيق.,تقارير وتوسع دون نصوص عشوائية.,قرارات G06 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Product + Backend (R)، Product Owner (A)، Legal/Localization (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/globalization — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G06-02,G06,العملات والمناطق الزمنية والوحدات,P1 — عالٍ,W1 — المنتج الأساسي,backlog,مخطط وغير منفذ كنظام عالمي,إظهار الأسعار والتاريخ والقياسات حسب المستخدم.,تجربة مألوفة في كل بلد.,خفض اللبس والنزاعات.,قرارات G06 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Product + Backend (R)، Product Owner (A)، Legal/Localization (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/globalization — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G06-03,G06,Capability Matrix,P1 — عالٍ,W1 — المنتج الأساسي,backlog,مخطط وغير منفذ كنظام عالمي,تشغيل أو منع التسجيل والنشر والدفع حسب الدولة.,لا يرى المستخدم ميزة غير متاحة قانونيًا.,تحكم عالمي من لوحة الإدارة.,قرارات G06 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Product + Backend (R)، Product Owner (A)، Legal/Localization (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/globalization — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G07-01,G07,رحلة Onboarding,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — واجهات/نماذج موجودة والخدمة المتصلة غير مكتملة,جمع الحد الأدنى من البيانات بعد التسجيل.,بداية سهلة وموجهة.,رفع نسبة إكمال الحساب.,قرارات G07 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack + Frontend (R)، Product Owner (A)، QA/Privacy (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/accounts — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G07-02,G07,أنواع الحسابات والتحقق,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — واجهات/نماذج موجودة والخدمة المتصلة غير مكتملة,فرد وشركة ومقدم خدمة وأدوار داخلية.,ملف يعكس صفته ويزيد الثقة.,تطبيق صلاحيات وتسعير مناسب.,قرارات G07 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack + Frontend (R)، Product Owner (A)، QA/Privacy (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/accounts — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G07-03,G07,إدارة الخصوصية والحذف والتصدير,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — واجهات/نماذج موجودة والخدمة المتصلة غير مكتملة,إعدادات عامة/خاصة وتنزيل البيانات وحذف الحساب.,سيطرة واضحة على بياناته.,امتثال وثقة وتقليل المخاطر.,قرارات G07 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack + Frontend (R)، Product Owner (A)، QA/Privacy (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/accounts — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G08-01,G08,تعريف القطاعات والفئات,P1 — عالٍ,W1 — المنتج الأساسي,backlog,مخطط,هيكل قابل للإدارة لثلاثة قطاعات وتوسع لاحق.,وصول أسرع للفئة الصحيحة.,إضافة فئات دون إصدار برمجي.,قرارات G08 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend + Product (R)، Technical Lead (A)، Admin/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/taxonomy — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G08-02,G08,الحقول الديناميكية,P1 — عالٍ,W1 — المنتج الأساسي,backlog,مخطط,تعريف حقول كل فئة وأنواعها وقواعدها.,نموذج نشر مناسب لكل منتج أو خدمة.,محرك واحد بدل كود متكرر.,قرارات G08 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend + Product (R)، Technical Lead (A)، Admin/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/taxonomy — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G08-03,G08,صلاحيات النشر القطاعية,P1 — عالٍ,W1 — المنتج الأساسي,backlog,مخطط,تحديد من ينشر وفي أي قطاع ودولة.,منع عروض غير مصرح بها.,مرونة تجارية ورقابية.,قرارات G08 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend + Product (R)، Technical Lead (A)، Admin/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/taxonomy — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G09-01,G09,دورة حياة الإعلان,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة واجهة ولا يوجد محرك إنتاجي كامل,مسودة، مراجعة، منشور، مرفوض، موقوف، منتهي، مباع، مؤرشف.,يفهم حالة إعلانه ويتحكم بها.,تشغيل واضح وقابل للتدقيق.,قرارات G09 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack (R)، Technical Lead (A)، Product/QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/listings — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G09-02,G09,إنشاء وتعديل الإعلان,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة واجهة ولا يوجد محرك إنتاجي كامل,نموذج عالمي بالعملة والموقع والحقول الديناميكية.,نشر سهل ودقيق.,بيانات أفضل للبحث والتحويل.,قرارات G09 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack (R)، Technical Lead (A)، Product/QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/listings — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G09-03,G09,المراجعة والرفض وإعادة التقديم,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة واجهة ولا يوجد محرك إنتاجي كامل,إرسال الإعلان للمراجعة مع أسباب واضحة.,يحصل المستخدم على سبب وتصحيح عادل.,خفض المحتوى المخالف والنزاعات.,قرارات G09 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack (R)، Technical Lead (A)، Product/QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/listings — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G09-04,G09,الانتهاء والتجديد والأرشفة,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة واجهة ولا يوجد محرك إنتاجي كامل,إدارة مدة الإعلان والإغلاق التلقائي.,محتوى حديث وغير مضلل.,تحسين جودة السوق وتحصيل الإيرادات.,قرارات G09 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Full-Stack (R)، Technical Lead (A)، Product/QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/listings — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G10-01,G10,رفع الصور الآمن,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة رفع/عرض ولا توجد Pipeline إنتاجية كاملة,رفع مباشر محدود ومتحقق منه.,رفع سريع من الهاتف.,منع ملفات ضارة وتكلفة غير مضبوطة.,قرارات G10 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Media + Frontend (R)، Technical Lead (A)، Security/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/media — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G10-02,G10,المعالجة والتحسين,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة رفع/عرض ولا توجد Pipeline إنتاجية كاملة,ضغط وتحويل وإنشاء صور مصغرة.,تحميل أسرع وجودة ثابتة.,خفض التخزين والنقل.,قرارات G10 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Media + Frontend (R)، Technical Lead (A)، Security/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/media — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G10-03,G10,إدارة الغلاف والترتيب والحذف,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — تجربة رفع/عرض ولا توجد Pipeline إنتاجية كاملة,ترتيب الصور واختيار الغلاف وتنظيف الملفات.,عرض احترافي وتحكم واضح.,عدم تراكم ملفات يتيمة.,قرارات G10 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Media + Frontend (R)، Technical Lead (A)، Security/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/media — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G11-01,G11,Feed عالمي ومحلي,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — Feed/بحث تجريبي,عرض محتوى مناسب للدولة والاهتمامات.,اكتشاف أسرع لما يهمه.,زيادة المشاهدة والتفاعل.,قرارات G11 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Search + Frontend (R)، Product Owner (A)، QA/SEO (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/discovery — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G11-02,G11,البحث والفلاتر والترتيب,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — Feed/بحث تجريبي,بحث نصي وهيكلي حسب الفئة والسعر والموقع.,يصل للعرض المطلوب بسرعة.,تحسين التحويل وجودة البيانات.,قرارات G11 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Search + Frontend (R)، Product Owner (A)، QA/SEO (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/discovery — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G11-03,G11,صفحة التفاصيل والحفظ والمشاركة,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — Feed/بحث تجريبي,صفحة إعلان كاملة وروابط محفوظة ومشاركة.,قرار أفضل والعودة لاحقًا.,زيادة الزيارات العضوية والاحتفاظ.,قرارات G11 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Search + Frontend (R)، Product Owner (A)، QA/SEO (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/discovery — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G12-01,G12,إنشاء المحادثة الفردية,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — محادثة تجريبية لا خدمة إنتاجية مكتملة,بدء محادثة مرتبطة بإعلان بين طرفين.,تواصل مباشر وآمن.,زيادة إتمام الصفقات دون مجموعات معقدة.,قرارات G12 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Realtime + Frontend (R)، Technical Lead (A)، Trust/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/messaging — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G12-02,G12,الرسائل الفورية وحالة القراءة,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — محادثة تجريبية لا خدمة إنتاجية مكتملة,إرسال واستلام وقراءة Realtime.,تجربة سريعة وواضحة.,رفع التفاعل والعودة.,قرارات G12 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Realtime + Frontend (R)، Technical Lead (A)، Trust/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/messaging — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G12-03,G12,الحظر والإبلاغ ومكافحة Spam,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — محادثة تجريبية لا خدمة إنتاجية مكتملة,منع الإساءة والرسائل المتكررة.,أمان وسيطرة على التواصل.,خفض إساءة الاستخدام وتكاليف الدعم.,قرارات G12 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend Realtime + Frontend (R)، Technical Lead (A)، Trust/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/messaging — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G13-01,G13,مركز الإشعارات,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — نماذج وتجربة,قائمة موحدة للأحداث المهمة.,لا يفوّت رسالة أو قرارًا.,زيادة العودة والاحتفاظ.,قرارات G13 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend + Frontend (R)، Product Owner (A)، Privacy/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/notifications — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G13-02,G13,البريد وPush والتفضيلات,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — نماذج وتجربة,قنوات متعددة قابلة للتحكم.,يختار القنوات المناسبة له.,تواصل فعال دون إزعاج.,قرارات G13 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend + Frontend (R)، Product Owner (A)، Privacy/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/notifications — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
