requirement_id,task_code,requirement_type,requirement_text,source_document,source_heading
REQ-00011,G00-01,ما يجب أن يبنيه أو يعدله,طبقة الواجهة: حالات loading/empty/error/forbidden/offline/success والهاتف وRTL/LTR.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00012,G00-01,ما يجب أن يبنيه أو يعدله,Schema/migration/index/policy عند وجود بيانات، مع forward migration وخطة rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00013,G00-01,ما يجب أن يبنيه أو يعدله,اختبارات وتسميات واضحة وربط كل حالة بمعيار قبول أو خطر.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00014,G00-01,الأمان والخصوصية,التحقق من authentication وauthorization على الخادم؛ إخفاء الزر ليس حماية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00015,G00-01,الأمان والخصوصية,عدم تسجيل token/secret/payment data/private message أو PII غير لازم.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00016,G00-01,الأمان والخصوصية,تطبيق least privilege وdeny by default وrate limit وaudit على العمليات الحساسة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00017,G00-01,الأمان والخصوصية,تحديد retention والحذف والتصدير والوصول الإداري إن كانت المهمة تعالج بيانات شخصية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00018,G00-01,اختبارات QA المطلوبة,Happy path كامل ببيانات واقعية في Staging.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00019,G00-01,اختبارات QA المطلوبة,مدخلات ناقصة وخاطئة وحدود الحجم والعدد والحالة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00020,G00-01,اختبارات QA المطلوبة,انقطاع الشبكة، retry، duplicate request، refresh وعودة من جهاز آخر عند انطباقها.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00021,G00-01,اختبارات QA المطلوبة,مستخدم A مقابل مستخدم B، وزائر، ودور إداري محدود.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00022,G00-01,اختبارات QA المطلوبة,العربية/الإنجليزية، RTL/LTR، هاتف متوسط، Chrome/Safari/Firefox للواجهات المتأثرة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00023,G00-01,اختبارات QA المطلوبة,Regression آلي يمنع عودة السبب بعد الدمج.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00024,G00-01,قبول: معيار القبول الرئيسي,موافقة المالك والقائد التقني والقانوني على نسخة واحدة مرقمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00025,G00-01,قبول: معايير إضافية,CI أخضر؛ لا خطأ حرج؛ صلاحيات مختبرة؛ Staging يعمل؛ الأداء ضمن الميزانية؛ النصوص مترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00026,G00-01,قبول: المخرجات,كود + tests + migration/policy إن لزم + API/schema docs + screenshots/log evidence + release/rollback notes.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00027,G00-01,قبول: تعريف الاكتمال,Code review، QA sign-off، Security sign-off بحسب الخطر، Product acceptance، تحديث Decision/Change Log.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00028,G00-01,قبول: الخطر,تنفيذ الواجهة قبل عقد البيانات أو الصلاحيات يؤدي إلى إعادة بناء أو تسريب.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00029,G00-01,قبول: التراجع,Feature Flag وإيقاف endpoint/job، ثم rollback migration الآمن أو forward-fix مع حفظ البيانات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00030,G00-02,عمل المبرمج خطوة بخطوة,1. ينشئ الفريق جداول plan/entitlement وخرائط البلدان والعملات دون تفعيل الدفع بعد.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00031,G00-02,عمل المبرمج خطوة بخطوة,2. إنشاء checkout session من الخادم فقط.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00032,G00-02,عمل المبرمج خطوة بخطوة,3. تسجيل payment_event خامًا وموقعًا ثم إسقاطه إلى transaction/ledger.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00033,G00-02,عمل المبرمج خطوة بخطوة,4. اختبار تكرار webhook وفشل الشبكة والـrefund الجزئي.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00034,G00-02,عمل المبرمج خطوة بخطوة,5. إنشاء ADR/PRD مرقم وربطه بسجل القرارات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00035,G00-02,عمل المبرمج خطوة بخطوة,6. تحويل كل قرار إلى شرط قابل للاختبار أو إعداد قابل للتهيئة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00036,G00-02,عمل المبرمج خطوة بخطوة,7. تحديد من يعتمد التغيير ومدة الاستجابة قبل أن يصبح مانعًا.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00037,G00-02,عمل المبرمج خطوة بخطوة,8. تعريف API contract وحالات الخطأ والـrate limit قبل دمج الواجهة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00038,G00-02,عمل المبرمج خطوة بخطوة,9. إضافة unit/integration/E2E أو security tests بحسب حدود المهمة، وربطها بـCI.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00039,G00-02,عمل المبرمج خطوة بخطوة,10. نشرها خلف Feature Flag على Staging، جمع الدليل، ثم إعداد rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00040,G00-02,ما يجب أن يبنيه أو يعدله,وحدة المجال `product-governance`: entities/value objects/state rules من دون اعتماد مباشر على الواجهة أو المورد.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00041,G00-02,ما يجب أن يبنيه أو يعدله,طبقة application: use cases وخدمات تحقق ورسائل خطأ ثابتة ومترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00042,G00-02,ما يجب أن يبنيه أو يعدله,طبقة infrastructure: database/repository/provider adapter مع timeout/retry/idempotency عند الحاجة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00043,G00-02,ما يجب أن يبنيه أو يعدله,طبقة الواجهة: حالات loading/empty/error/forbidden/offline/success والهاتف وRTL/LTR.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00044,G00-02,ما يجب أن يبنيه أو يعدله,Schema/migration/index/policy عند وجود بيانات، مع forward migration وخطة rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00045,G00-02,ما يجب أن يبنيه أو يعدله,اختبارات وتسميات واضحة وربط كل حالة بمعيار قبول أو خطر.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00046,G00-02,الأمان والخصوصية,التحقق من authentication وauthorization على الخادم؛ إخفاء الزر ليس حماية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00047,G00-02,الأمان والخصوصية,عدم تسجيل token/secret/payment data/private message أو PII غير لازم.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00048,G00-02,الأمان والخصوصية,تطبيق least privilege وdeny by default وrate limit وaudit على العمليات الحساسة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00049,G00-02,الأمان والخصوصية,تحديد retention والحذف والتصدير والوصول الإداري إن كانت المهمة تعالج بيانات شخصية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00050,G00-02,اختبارات QA المطلوبة,Happy path كامل ببيانات واقعية في Staging.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00051,G00-02,اختبارات QA المطلوبة,مدخلات ناقصة وخاطئة وحدود الحجم والعدد والحالة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00052,G00-02,اختبارات QA المطلوبة,انقطاع الشبكة، retry، duplicate request، refresh وعودة من جهاز آخر عند انطباقها.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00053,G00-02,اختبارات QA المطلوبة,مستخدم A مقابل مستخدم B، وزائر، ودور إداري محدود.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00054,G00-02,اختبارات QA المطلوبة,العربية/الإنجليزية، RTL/LTR، هاتف متوسط، Chrome/Safari/Firefox للواجهات المتأثرة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00055,G00-02,اختبارات QA المطلوبة,Regression آلي يمنع عودة السبب بعد الدمج.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00056,G00-02,قبول: معيار القبول الرئيسي,اعتماد باقات V1 وحدودها وتسعيرها المرجعي.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00057,G00-02,قبول: معايير إضافية,CI أخضر؛ لا خطأ حرج؛ صلاحيات مختبرة؛ Staging يعمل؛ الأداء ضمن الميزانية؛ النصوص مترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00058,G00-02,قبول: المخرجات,كود + tests + migration/policy إن لزم + API/schema docs + screenshots/log evidence + release/rollback notes.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00059,G00-02,قبول: تعريف الاكتمال,Code review، QA sign-off، Security sign-off بحسب الخطر، Product acceptance، تحديث Decision/Change Log.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00060,G00-02,قبول: الخطر,تنفيذ الواجهة قبل عقد البيانات أو الصلاحيات يؤدي إلى إعادة بناء أو تسريب.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00061,G00-02,قبول: التراجع,Feature Flag وإيقاف endpoint/job، ثم rollback migration الآمن أو forward-fix مع حفظ البيانات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-02 — تحديد نموذج الإيرادات العالمي
REQ-00062,G00-03,عمل المبرمج خطوة بخطوة,1. إنشاء Capability Matrix أولية ومعرفات ISO للدول والعملات واللغات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00063,G00-03,عمل المبرمج خطوة بخطوة,2. إنشاء ADR/PRD مرقم وربطه بسجل القرارات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00064,G00-03,عمل المبرمج خطوة بخطوة,3. تحويل كل قرار إلى شرط قابل للاختبار أو إعداد قابل للتهيئة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00065,G00-03,عمل المبرمج خطوة بخطوة,4. تحديد من يعتمد التغيير ومدة الاستجابة قبل أن يصبح مانعًا.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00066,G00-03,عمل المبرمج خطوة بخطوة,5. تعريف API contract وحالات الخطأ والـrate limit قبل دمج الواجهة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00067,G00-03,عمل المبرمج خطوة بخطوة,6. إضافة unit/integration/E2E أو security tests بحسب حدود المهمة، وربطها بـCI.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00068,G00-03,عمل المبرمج خطوة بخطوة,7. نشرها خلف Feature Flag على Staging، جمع الدليل، ثم إعداد rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00069,G00-03,ما يجب أن يبنيه أو يعدله,وحدة المجال `product-governance`: entities/value objects/state rules من دون اعتماد مباشر على الواجهة أو المورد.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00070,G00-03,ما يجب أن يبنيه أو يعدله,طبقة application: use cases وخدمات تحقق ورسائل خطأ ثابتة ومترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00071,G00-03,ما يجب أن يبنيه أو يعدله,طبقة infrastructure: database/repository/provider adapter مع timeout/retry/idempotency عند الحاجة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00072,G00-03,ما يجب أن يبنيه أو يعدله,طبقة الواجهة: حالات loading/empty/error/forbidden/offline/success والهاتف وRTL/LTR.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00073,G00-03,ما يجب أن يبنيه أو يعدله,Schema/migration/index/policy عند وجود بيانات، مع forward migration وخطة rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00074,G00-03,ما يجب أن يبنيه أو يعدله,اختبارات وتسميات واضحة وربط كل حالة بمعيار قبول أو خطر.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00075,G00-03,الأمان والخصوصية,التحقق من authentication وauthorization على الخادم؛ إخفاء الزر ليس حماية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00076,G00-03,الأمان والخصوصية,عدم تسجيل token/secret/payment data/private message أو PII غير لازم.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00077,G00-03,الأمان والخصوصية,تطبيق least privilege وdeny by default وrate limit وaudit على العمليات الحساسة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00078,G00-03,الأمان والخصوصية,تحديد retention والحذف والتصدير والوصول الإداري إن كانت المهمة تعالج بيانات شخصية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00079,G00-03,اختبارات QA المطلوبة,Happy path كامل ببيانات واقعية في Staging.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00080,G00-03,اختبارات QA المطلوبة,مدخلات ناقصة وخاطئة وحدود الحجم والعدد والحالة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00081,G00-03,اختبارات QA المطلوبة,انقطاع الشبكة، retry، duplicate request، refresh وعودة من جهاز آخر عند انطباقها.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00082,G00-03,اختبارات QA المطلوبة,مستخدم A مقابل مستخدم B، وزائر، ودور إداري محدود.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00083,G00-03,اختبارات QA المطلوبة,العربية/الإنجليزية، RTL/LTR، هاتف متوسط، Chrome/Safari/Firefox للواجهات المتأثرة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00084,G00-03,اختبارات QA المطلوبة,Regression آلي يمنع عودة السبب بعد الدمج.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00085,G00-03,قبول: معيار القبول الرئيسي,وجود قرار قابل للتنفيذ لكل دولة وميزة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00086,G00-03,قبول: معايير إضافية,CI أخضر؛ لا خطأ حرج؛ صلاحيات مختبرة؛ Staging يعمل؛ الأداء ضمن الميزانية؛ النصوص مترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00087,G00-03,قبول: المخرجات,كود + tests + migration/policy إن لزم + API/schema docs + screenshots/log evidence + release/rollback notes.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00088,G00-03,قبول: تعريف الاكتمال,Code review، QA sign-off، Security sign-off بحسب الخطر، Product acceptance، تحديث Decision/Change Log.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00089,G00-03,قبول: الخطر,تنفيذ الواجهة قبل عقد البيانات أو الصلاحيات يؤدي إلى إعادة بناء أو تسريب.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00090,G00-03,قبول: التراجع,Feature Flag وإيقاف endpoint/job، ثم rollback migration الآمن أو forward-fix مع حفظ البيانات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-03 — سياسة الدول واللغات والإطلاق
REQ-00091,G01-01,عمل المبرمج خطوة بخطوة,1. يشغل المبرمج git status/log/branch audits، يصنف الملفات ويصدر تقرير Keep/Fix/Archive/Delete.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00092,G01-01,عمل المبرمج خطوة بخطوة,2. إنشاء actor/action/resource/before/after/correlation_id.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00093,G01-01,عمل المبرمج خطوة بخطوة,3. منع update/delete للتدقيق من أدوار التطبيق.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00094,G01-01,عمل المبرمج خطوة بخطوة,4. تحديد redaction وretention وصلاحية التصدير.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00095,G01-01,عمل المبرمج خطوة بخطوة,5. إنتاج manifest للملفات والفروع والحالة وتاريخ آخر استخدام.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00096,G01-01,عمل المبرمج خطوة بخطوة,6. تشغيل الاختبارات قبل وبعد التنظيف لإثبات عدم فقد وظيفة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00097,G01-01,عمل المبرمج خطوة بخطوة,7. أرشفة الدليل خارج Runtime مع owner وقرار حذف.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00098,G01-01,عمل المبرمج خطوة بخطوة,8. تعريف API contract وحالات الخطأ والـrate limit قبل دمج الواجهة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00099,G01-01,عمل المبرمج خطوة بخطوة,9. إضافة unit/integration/E2E أو security tests بحسب حدود المهمة، وربطها بـCI.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00100,G01-01,عمل المبرمج خطوة بخطوة,10. نشرها خلف Feature Flag على Staging، جمع الدليل، ثم إعداد rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00101,G01-01,ما يجب أن يبنيه أو يعدله,وحدة المجال `repository-audit`: entities/value objects/state rules من دون اعتماد مباشر على الواجهة أو المورد.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00102,G01-01,ما يجب أن يبنيه أو يعدله,طبقة application: use cases وخدمات تحقق ورسائل خطأ ثابتة ومترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00103,G01-01,ما يجب أن يبنيه أو يعدله,طبقة infrastructure: database/repository/provider adapter مع timeout/retry/idempotency عند الحاجة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00104,G01-01,ما يجب أن يبنيه أو يعدله,طبقة الواجهة: حالات loading/empty/error/forbidden/offline/success والهاتف وRTL/LTR.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00105,G01-01,ما يجب أن يبنيه أو يعدله,Schema/migration/index/policy عند وجود بيانات، مع forward migration وخطة rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00106,G01-01,ما يجب أن يبنيه أو يعدله,اختبارات وتسميات واضحة وربط كل حالة بمعيار قبول أو خطر.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00107,G01-01,الأمان والخصوصية,التحقق من authentication وauthorization على الخادم؛ إخفاء الزر ليس حماية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00108,G01-01,الأمان والخصوصية,عدم تسجيل token/secret/payment data/private message أو PII غير لازم.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00109,G01-01,الأمان والخصوصية,تطبيق least privilege وdeny by default وrate limit وaudit على العمليات الحساسة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00110,G01-01,الأمان والخصوصية,تحديد retention والحذف والتصدير والوصول الإداري إن كانت المهمة تعالج بيانات شخصية.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00111,G01-01,اختبارات QA المطلوبة,Happy path كامل ببيانات واقعية في Staging.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00112,G01-01,اختبارات QA المطلوبة,مدخلات ناقصة وخاطئة وحدود الحجم والعدد والحالة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
REQ-00113,G01-01,اختبارات QA المطلوبة,انقطاع الشبكة، retry، duplicate request، refresh وعودة من جهاز آخر عند انطباقها.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G01-01 — جرد المستودع والملفات والفروع
