priority_batch	file	finding_count	possible_secret_wording_count	console_logging_count	recommended_review_action
B1	approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html	1	0	1	Manual review first; do not print source line contents
B1	approved/styles-before-vvip-gate-login-20260707.css	1	1	0	Manual review first; do not print source line contents
B1	approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html	1	0	1	Manual review first; do not print source line contents
B1	backups/clerk-private-profile.before-self-healing-profile-gateway.html	1	0	1	Manual review first; do not print source line contents
B1	clerk-test.html	1	0	1	Manual review first; do not print source line contents
B2	supabase/functions/send-verification-email/index.ts	25	16	9	Manual review first; do not print source line contents
B2	RLS-EMAIL-VERIFICATION-POLICIES.sql	8	8	0	Manual review first; do not print source line contents
B2	RLS-QUICK-REFERENCE.md	5	5	0	Manual review first; do not print source line contents
B2	SETUP-GUIDE.md	5	5	0	Manual review first; do not print source line contents
B2	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	5	5	0	Manual review first; do not print source line contents
B2	index.html	5	5	0	Manual review first; do not print source line contents
B2	ACCOUNT-CHOOSER-SPEC.md	3	3	0	Manual review first; do not print source line contents
B2	EMAIL-TEMPLATE-VARIABLES.md	3	3	0	Manual review first; do not print source line contents
B2	PRODUCT-REQUIREMENTS-ADDENDUM.md	3	3	0	Manual review first; do not print source line contents
B2	README.md	3	3	0	Manual review first; do not print source line contents
B2	VVIP-AUTH-SYSTEM-SPEC.md	3	3	0	Manual review first; do not print source line contents
B2	approved/social-ui-before-force-post-options-menu-20260708.js	3	3	0	Manual review first; do not print source line contents
B2	approved/social-ui-before-post-options-menu-tiger-care-20260707.js	3	3	0	Manual review first; do not print source line contents
B2	approved/social-ui-before-tiger-care-feedback-fix-20260708.js	3	3	0	Manual review first; do not print source line contents
B2	social-ui.js	3	3	0	Manual review first; do not print source line contents
B2	approved/sw-before-post-options-cache-fix-20260708.js	2	2	0	Manual review first; do not print source line contents
B2	sw.js	2	2	0	Manual review first; do not print source line contents
B2	ADMIN-SETUP-GUIDE.md	1	1	0	Manual review first; do not print source line contents
B2	ADMIN-SETUP.sql	1	1	0	Manual review first; do not print source line contents
B2	AGENTS.md	1	1	0	Manual review first; do not print source line contents
B2	DOCUMENTATION-INDEX.md	1	1	0	Manual review first; do not print source line contents
B2	EMAIL-VERIFICATION-SETUP.md	1	1	0	Manual review first; do not print source line contents
B2	GOOGLE-ONE-TAP-SETUP.md	1	1	0	Manual review first; do not print source line contents
B2	QA-FINAL-REPORT.md	1	1	0	Manual review first; do not print source line contents
B2	SUPABASE-EDGE-OTP-GUIDE.md	1	1	0	Manual review first; do not print source line contents
B2	TIGER-AutoParts-Prompts.md	1	1	0	Manual review first; do not print source line contents
B2	UNIFIED-PLATFORM-STATUS.md	1	1	0	Manual review first; do not print source line contents
B2	approved/nav-cleanup-7-1/vvip-identity-before-clarity-patch-20260708.css	1	1	0	Manual review first; do not print source line contents
B2	approved/styles-before-post-options-menu-tiger-care-20260707.css	1	1	0	Manual review first; do not print source line contents
B2	approved/styles-before-tiger-care-feedback-fix-20260708.css	1	1	0	Manual review first; do not print source line contents
B2	approved/supabase-config-approved.js	1	1	0	Manual review first; do not print source line contents
B2	approved/supabase-config-final.js	1	1	0	Manual review first; do not print source line contents
B2	approved/visual-identity-pass-7-1/styles-before-visual-identity-20260708.css	1	1	0	Manual review first; do not print source line contents
B2	backups/visual-trust-layer/phase-2-2/vvip-visual-trust-layer.before-readable-lock.20260709-184736.css	1	1	0	Manual review first; do not print source line contents
B2	reset-password.html	1	1	0	Manual review first; do not print source line contents
B2	scripts/supabase-config.js	1	1	0	Manual review first; do not print source line contents
B2	scripts/vvip-safe-ux-guard.js	1	1	0	Manual review first; do not print source line contents
B2	styles.css	1	1	0	Manual review first; do not print source line contents
B2	styles/vvip-visual-trust-layer.css	1	1	0	Manual review first; do not print source line contents
B2	supabase/functions/phone-verification/index.ts	1	1	0	Manual review first; do not print source line contents
B2	vvip-identity.css	1	1	0	Manual review first; do not print source line contents
