requirement_id,section,requirement_text,domain,priority,status,source_file,source_line,implementation_state,test_state,evidence_state,rollback_state
VVIP-GV1-0011,مبدأ الجراح لا الحداد,التشخيص قبل التعديل، وإثبات السبب الجذري قبل الإصلاح، وتغيير أقل مساحة لازمة.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,44,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0012,مبدأ الجراح لا الحداد,كل إصلاح يبدأ باختبار يعيد إنتاج الخلل وينتهي باختبار Regression وخطة تراجع ودليل نجاح.,OPERATIONS_RELEASE,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,45,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0013,مبدأ الجراح لا الحداد,لا حذف بالاشتباه وحده. الحذف النهائي يتطلب جردًا، وفحص المراجع المباشرة والديناميكية، ونسخة استعادة خارج شجرة التطبيق، واختبارات قبل الحذف وبعده.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,46,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0014,مبدأ الجراح لا الحداد,لا تُستخدم Mocks أو بيانات وهمية في مسار Production. يسمح بها داخل الاختبارات فقط وبحدود واضحة.,DATA_DATABASE,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,47,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0015,مبدأ الجراح لا الحداد,الهدف التشغيلي هو صفر عيوب معروفة من فئة Blocker/Critical، واجتياز جميع بوابات P0/P1؛ لا يوجد ضمان علمي بمنع كل خطأ مستقبلي، لذلك تُبنى المرونة والمراقبة والتراجع.,LISTINGS_MARKETPLACE,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,48,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0016,الفهرس التنفيذي,الملخص التنفيذي وتعريف النهاية العالمية,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,78,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0017,الفهرس التنفيذي,الحالة الحالية والفجوات,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,79,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0018,الفهرس التنفيذي,المبادئ المعمارية العالمية,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,80,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0019,الفهرس التنفيذي,الفريق والحوكمة والمسارات المتوازية,GOVERNANCE_ETHICS,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,81,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0020,الفهرس التنفيذي,منهج التنفيذ الفوري وبوابات الانتقال,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,82,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0021,الفهرس التنفيذي,مراحل ومهام التنفيذ التفصيلية G00–G17,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,83,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0022,الفهرس التنفيذي,مواصفة قاعدة البيانات وERD النصي,DATA_DATABASE,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,84,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0023,الفهرس التنفيذي,مصفوفة الصلاحيات وRLS,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,85,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0024,الفهرس التنفيذي,سجل الشاشات ورحلات المستخدم,IDENTITY_ACCESS,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,86,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0025,الفهرس التنفيذي,كتالوج API والأحداث والأخطاء,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,87,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0026,الفهرس التنفيذي,حالات الإعلانات والمحادثات والدفع,LISTINGS_MARKETPLACE,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,88,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0027,الفهرس التنفيذي,مصفوفة الدول واللغات والعملات,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,89,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0028,الفهرس التنفيذي,الاختبارات ومعايير الأداء,PERFORMANCE_SCALE,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,90,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0029,الفهرس التنفيذي,الأمن والخصوصية والامتثال,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,91,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0030,الفهرس التنفيذي,التشغيل العالمي وإدارة الحوادث,OPERATIONS_RELEASE,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,92,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0031,الفهرس التنفيذي,سجل المخاطر والموردين والتكاليف,OPERATIONS_RELEASE,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,93,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0032,الفهرس التنفيذي,قائمة الإطلاق والتسليم النهائي,OPERATIONS_RELEASE,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,94,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0033,الفهرس التنفيذي,معيار الإغلاق والتقرير النهائي,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,95,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0034,الفهرس التنفيذي,أمر التنفيذ الموحد للإيجنت,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,96,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0035,طريقة استخدام الوثيقة,كل Pull Request يحمل Requirement ID مطابقًا لهذه الوثيقة ويرفق أدلة الاختبار وخطة التراجع.,UX_ACCESSIBILITY,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,99,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0036,طريقة استخدام الوثيقة,لا تعني عبارة «تمت الشاشة» اكتمال المهمة؛ الاكتمال يتطلب UI وBackend وData وAuthorization وErrors وTests وStaging Evidence وDocumentation.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,100,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0037,طريقة استخدام الوثيقة,أي تغيير في النطاق يسجل في ADR مع أثره على التكلفة والأمن والتوافق والتشغيل.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,101,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0038,طريقة استخدام الوثيقة,الملاحق والجداول وحالات القبول جزء ملزم من المواصفة وليست معلومات اختيارية.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,102,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0039,طريقة استخدام الوثيقة,كل مرحلة تُفتح بسجل PHASE_START وتغلق بسجل PHASE_END يحتوي Commit SHA والاختبارات والأدلة والتراجع والقرار.,OPERATIONS_RELEASE,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,103,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0040,طريقة استخدام الوثيقة,لا تُعلن المنصة جاهزة عالميًا إلا وفق شروط الإغلاق النهائي الواردة في هذه الوثيقة.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,104,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0041,1. الملخص التنفيذي وتعريف النهاية العالمية,الهدف النهائي هو إطلاق VVIP TIGER كمنصة عالمية واحدة تعمل من خلال نواة برمجية موحدة وقابلة للتهيئة حسب الدولة واللغة والعملة، مع سوق إعلانات متعدد القطاعات، ملفات شخصية، تواصل فردي، دعم ومراجعة، اشتراكات، إدارة عالمية، وبنية أمنية وتشغيلية قابلة للتوسع. لا تتعامل Global V1 بأموال الصفقات بين المستخدمين، بل تبيع اشتراكات وخدمات ترويجية للمنصة فقط.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,107,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0042,1.1 تعريف 100% من Global V1,المستخدم يستطيع التسجيل والدخول وإكمال ملفه من أي دولة مفعلة وباللغة المدعومة.,IDENTITY_ACCESS,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,111,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0043,1.1 تعريف 100% من Global V1,المستخدم يستطيع إنشاء إعلان بعملة وموقع وحقول مناسبة لقطاعه ودولته، ورفعه للمراجعة ونشره وإدارته.,IDENTITY_ACCESS,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,112,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0044,1.1 تعريف 100% من Global V1,الإعلانات المنشورة تظهر في البحث والـFeed، وتعمل روابطها على الهاتف والكمبيوتر.,SEARCH_DISCOVERY,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,113,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0045,1.1 تعريف 100% من Global V1,التواصل فردي وآمن، والإشعارات تصل داخل المنصة وبالبريد وPush بحسب إعدادات المستخدم.,IDENTITY_ACCESS,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,114,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0046,1.1 تعريف 100% من Global V1,توجد آليات بلاغ واستئناف ودعم Tiger Care وسجل إداري قابل للتدقيق.,MESSAGING_SUPPORT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,115,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0047,1.1 تعريف 100% من Global V1,الاشتراكات والدفع تعمل عبر Hosted Checkout دون تخزين بيانات البطاقة في المنصة.,DATA_DATABASE,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,116,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0048,1.1 تعريف 100% من Global V1,توجد سياسات خصوصية وحذف وتصدير بيانات واحتفاظ حسب المناطق القانونية المستهدفة.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,117,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0049,1.1 تعريف 100% من Global V1,تنجح اختبارات الأمان والأداء والاستعادة والدفع والصلاحيات ولا توجد ثغرة حرجة مفتوحة.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,118,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0050,1.1 تعريف 100% من Global V1,يعمل الإطلاق العالمي العام عبر Capability Matrix مع إمكانية إيقاف دولة أو ميزة أو الدفع فورًا.,PAYMENTS_BILLING,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,119,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0051,1.1 تعريف 100% من Global V1,توجد مراقبة وتشغيل واستجابة للحوادث ونسخ احتياطي واستعادة موثقة بعد الإطلاق.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,120,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0052,2. الحالة الحالية والفجوات,هذه الوثيقة تفترض الاستفادة من التصميمات والملفات الحالية، لكنها لا تعتبرها مكتملة إلا بعد التحقق في المستودع وStaging. الأولوية هي إنهاء P08 أمنيًا، ثم دمج نظام الهوية الموحد P09 على دفعات صغيرة، ثم بناء المسار الإنتاجي الرأسي.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,136,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0053,5. منهج التنفيذ الفوري وبوابات الانتقال,لا يعتمد التنفيذ على مدة أو نسبة زمنية. تُفتح كل مرحلة بعد تحقق مدخلاتها، وتُغلق فقط عند اكتمال المخرجات والاختبارات والأدلة وخطة التراجع. لا تُحتسب الواجهة المرئية وحدها تقدمًا، ولا يجوز تجاوز بوابة أمن أو بيانات أو قبول.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,194,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0054,جدول 9,عقد ورشة قرارات وتسجيل كل قرار في ADR.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,222,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0055,جدول 9,إنشاء Product Scope يحتوي Personas وJobs-to-be-done والرحلات الأساسية.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,223,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0056,جدول 9,تعريف Out-of-scope فقط لما لا يرد في المرجع المعتمد، دون تأجيل أي متطلب وارد في هذه الوثيقة.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,224,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0057,جدول 9,اعتماد معايير نجاح تجارية وتشغيلية لكل رحلة.,OPERATIONS_RELEASE,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,225,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0058,جدول 9,ملف product_contract.yaml قابل للقراءة آليًا.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,228,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0059,جدول 9,سجل قرارات ADR مع رقم وتاريخ ومالك.,OPERATIONS_RELEASE,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,229,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0060,جدول 9,منع تضمين ميزات قانونية أو مالية غير معتمدة.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,232,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0061,جدول 9,مراجعة جميع القصص ضد النطاق.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,235,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0062,جدول 9,اختبار Traceability من المتطلب إلى المهمة.,GENERAL_PRODUCT,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,236,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0063,جدول 9,توقيع المالك والقائد التقني.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,239,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0064,جدول 9,لا يوجد متطلب أساسي بلا مالك أو معيار قبول.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,240,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
