priority_batch	priority_rank	track	indicator	file	line	preliminary_risk	triage_focus	required_manual_check	candidate_future_action
B1	24	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	59	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	25	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	61	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	26	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	66	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	27	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	67	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	28	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-vvip-gate-login-20260707.html	111	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	29	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	59	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	30	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	61	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	31	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	66	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	32	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	67	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	33	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-approved.html	111	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	34	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	59	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	35	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	61	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	36	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	66	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	37	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	67	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	38	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-supabase-auth-final.html	111	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	39	Logging Review	CONSOLE_LOGGING	approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html	1032	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	40	Secrets Review	POSSIBLE_SECRET_WORDING	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	8	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	41	Secrets Review	POSSIBLE_SECRET_WORDING	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	12	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	42	Logging Review	CONSOLE_LOGGING	approved/require-auth-approved.js	6	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	43	Logging Review	CONSOLE_LOGGING	approved/require-auth-approved.js	14	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	44	Logging Review	CONSOLE_LOGGING	approved/require-auth-approved.js	20	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	45	Logging Review	CONSOLE_LOGGING	approved/require-auth-approved.js	25	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	46	Logging Review	CONSOLE_LOGGING	approved/require-auth-approved.js	27	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	47	Logging Review	CONSOLE_LOGGING	approved/require-auth-final.js	6	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	48	Logging Review	CONSOLE_LOGGING	approved/require-auth-final.js	14	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	49	Logging Review	CONSOLE_LOGGING	approved/require-auth-final.js	20	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	50	Logging Review	CONSOLE_LOGGING	approved/require-auth-final.js	25	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	51	Logging Review	CONSOLE_LOGGING	approved/require-auth-final.js	27	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	52	Secrets Review	POSSIBLE_SECRET_WORDING	approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js	8	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	53	Secrets Review	POSSIBLE_SECRET_WORDING	approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js	12	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	54	Secrets Review	POSSIBLE_SECRET_WORDING	approved/styles-before-vvip-gate-login-20260707.css	203	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	55	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	33	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	56	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	71	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	57	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	79	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	58	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	85	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	59	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	87	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	60	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	109	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	61	Logging Review	CONSOLE_LOGGING	approved/supabase-auth-bridge-approved.js	117	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	62	Logging Review	CONSOLE_LOGGING	approved/supabase-auth-bridge-approved.js	120	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	63	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-approved.js	153	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	64	Logging Review	CONSOLE_LOGGING	approved/supabase-auth-bridge-approved.js	163	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	65	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	33	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	66	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	71	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	67	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	79	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	68	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	85	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	69	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	87	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	70	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	109	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	71	Logging Review	CONSOLE_LOGGING	approved/supabase-auth-bridge-final.js	117	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	72	Logging Review	CONSOLE_LOGGING	approved/supabase-auth-bridge-final.js	120	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	73	Secrets Review	POSSIBLE_SECRET_WORDING	approved/supabase-auth-bridge-final.js	153	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	74	Logging Review	CONSOLE_LOGGING	approved/supabase-auth-bridge-final.js	163	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	75	Logging Review	CONSOLE_LOGGING	approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html	1031	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	76	Logging Review	CONSOLE_LOGGING	auth-clerk-index.js	5	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	77	Logging Review	CONSOLE_LOGGING	auth-clerk-index.js	122	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	78	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	53	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	79	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	61	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	80	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	102	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	81	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	110	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	82	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	127	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	83	Logging Review	CONSOLE_LOGGING	auth-supabase.js	145	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	84	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	171	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	85	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	174	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	86	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	187	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	87	Secrets Review	POSSIBLE_SECRET_WORDING	auth-supabase.js	192	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	88	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	70	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	89	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	84	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	90	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	88	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	91	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	91	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	92	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	183	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	93	Logging Review	CONSOLE_LOGGING	auth.js	340	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	94	Logging Review	CONSOLE_LOGGING	auth.js	363	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	95	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	421	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	96	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	422	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	97	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	423	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	98	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	428	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	99	Logging Review	CONSOLE_LOGGING	auth.js	442	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	100	Logging Review	CONSOLE_LOGGING	auth.js	448	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	101	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	451	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	102	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	452	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	103	Secrets Review	POSSIBLE_SECRET_WORDING	auth.js	457	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	104	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	707	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	105	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	707	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	106	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	712	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	107	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	713	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	108	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	713	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	109	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	714	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	110	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	716	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	111	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	716	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	112	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	752	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	113	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	757	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	114	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	759	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	115	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	765	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	116	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	775	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	117	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	776	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	118	Secrets Review	POSSIBLE_SECRET_WORDING	backups/clerk-private-profile.before-atomic-profile-resolver.html	852	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	119	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	1056	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	120	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	1081	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	121	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	1103	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	122	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	1128	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	123	Logging Review	CONSOLE_LOGGING	backups/clerk-private-profile.before-atomic-profile-resolver.html	1233	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
