file	line	pattern	text
auth.js	426	action-surface	    setButtonLoading(emailLoginBtn, true);
auth.js	431	action-surface	        await user.sendEmailVerification({ url: window.location.origin + "/index.html" });
auth.js	437	action-surface	      window.location.href = "public-profile.html";
auth.js	469	action-surface	      setButtonLoading(emailLoginBtn, false);
auth.js	474	action-surface	    emailLoginBtn.addEventListener("click", function (event) {
auth.js	479	action-surface	    loginPasswordInput.addEventListener("keydown", function (e) {
auth.js	484	action-surface	    loginEmailInput.addEventListener("keydown", function (e) {
auth.js	490	action-surface	    logoutBtn.addEventListener("click", function () {
auth.js	496	action-surface	    confirmLogoutBtn.addEventListener("click", async function () {
auth.js	497	action-surface	      setButtonLoading(confirmLogoutBtn, true);
auth.js	507	action-surface	        setButtonLoading(confirmLogoutBtn, false);
auth.js	513	action-surface	    cancelLogoutBtn.addEventListener("click", closeLogoutConfirm);
auth.js	517	action-surface	    logoutConfirmModal.addEventListener("click", function (event) {
auth.js	525	action-surface	    continuePublicBtn.addEventListener("click", function () {
auth.js	526	action-surface	      window.location.href = "public-profile.html";
auth.js	531	action-surface	    avatarPrivateBtn.addEventListener("click", function () {
auth.js	532	action-surface	      window.location.href = "private-profile.html";
auth.js	537	action-surface	    closeVerification.addEventListener("click", function () {
clerk-private-profile.html	86	action-surface	    button, a {
clerk-private-profile.html	98	action-surface	    button.dark {
clerk-private-profile.html	129	action-surface	        var params = new URLSearchParams(window.location.search || "");
clerk-private-profile.html	166	action-surface	      window.addEventListener("error", function () {
clerk-private-profile.html	172	action-surface	      window.addEventListener("unhandledrejection", function () {
clerk-private-profile.html	685	action-surface	  <link rel="stylesheet" href="vvip-identity.css?v=20260708-7-1" />
clerk-private-profile.html	686	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
clerk-private-profile.html	1001	action-surface	      const alertNode = document.querySelector(".vvip-alert");
clerk-private-profile.html	1006	action-surface	      const pillNode = document.querySelector(".vvip-secure-pill");
clerk-private-profile.html	1011	action-surface	      const noteNode = document.querySelector(".vvip-note");
clerk-private-profile.html	1516	action-surface	      const retryBtn = document.getElementById("retry-profile-btn");
clerk-private-profile.html	1518	action-surface	        retryBtn.addEventListener("click", async function () {
clerk-private-profile.html	1542	action-surface	        document.querySelector("[data-profile-root]") ||
clerk-private-profile.html	1543	action-surface	        document.querySelector("main") ||
clerk-private-profile.html	1544	action-surface	        document.getElementById("app") ||
clerk-private-profile.html	1556	action-surface	          '<a class="vvip-btn vvip-btn-primary" href="index.html">العودة لصفحة الدخول</a>' +
clerk-private-profile.html	1557	action-surface	          '<a class="vvip-btn vvip-btn-dark" href="public-profile.html">متابعة إلى الصفحة العامة</a>' +
clerk-private-profile.html	1558	action-surface	          '<button class="vvip-btn vvip-btn-soft" id="retry-profile-btn" type="button">إعادة المحاولة</button>' +
clerk-private-profile.html	1559	action-surface	          '<a class="vvip-btn vvip-btn-soft" href="public-profile.html">طلب مساعدة عبر Tiger Care</a>'
clerk-private-profile.html	1586	action-surface	        document.querySelector("[data-profile-root]") ||
clerk-private-profile.html	1587	action-surface	        document.querySelector("main") ||
clerk-private-profile.html	1588	action-surface	        document.getElementById("app") ||
clerk-private-profile.html	1600	action-surface	          '<a class="vvip-btn vvip-btn-primary" href="index.html">العودة لصفحة الدخول</a>' +
clerk-private-profile.html	1601	action-surface	          '<a class="vvip-btn vvip-btn-dark" href="public-profile.html">متابعة إلى الصفحة العامة</a>' +
clerk-private-profile.html	1602	action-surface	          '<button class="vvip-btn vvip-btn-soft" id="retry-profile-btn" type="button">إعادة المحاولة</button>' +
clerk-private-profile.html	1603	action-surface	          '<a class="vvip-btn vvip-btn-soft" href="public-profile.html">طلب مساعدة عبر Tiger Care</a>'
clerk-private-profile.html	1771	action-surface	        document.querySelector("[data-profile-root]") ||
clerk-private-profile.html	1772	action-surface	        document.querySelector("main") ||
clerk-private-profile.html	1773	action-surface	        document.getElementById("app") ||
clerk-private-profile.html	1863	action-surface	                <section class="vvip-membership-center" aria-label="مركز العضوية VIP">
clerk-private-profile.html	1902	action-surface	                <section class="vvip-tiger-care" aria-label="Tiger Care Contact Request">
clerk-private-profile.html	1959	action-surface	                      <button class="vvip-btn vvip-btn-primary" type="submit">إرسال طلب تواصل رسمي</button>
clerk-private-profile.html	1977	action-surface	                  <a class="vvip-btn vvip-btn-primary" href="public-profile.html">متابعة إلى الصفحة العامة</a>
clerk-private-profile.html	1978	action-surface	                  <a class="vvip-btn vvip-btn-dark" href="index.html">العودة إلى الدخول</a>
clerk-private-profile.html	1979	action-surface	                  <button class="vvip-btn vvip-btn-soft" id="sign-out-btn" type="button">تسجيل الخروج</button>
clerk-private-profile.html	2017	action-surface	      const tigerCareForm = document.getElementById("tiger-care-form");
clerk-private-profile.html	2018	action-surface	      const tigerCareMessage = document.getElementById("tiger-care-message");
clerk-private-profile.html	2021	action-surface	        tigerCareForm.addEventListener("submit", function (event) {
clerk-private-profile.html	2028	action-surface	      const signOutBtn = document.getElementById("sign-out-btn");
clerk-private-profile.html	2030	action-surface	        signOutBtn.addEventListener("click", async function () {
clerk-private-profile.html	2032	action-surface	          window.location.href = "index.html";
clerk-private-profile.html	2037	action-surface	    window.addEventListener("load", async function () {
clerk-test.html	149	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
clerk-test.html	153	action-surface	<nav class="vvip-public-page-return" aria-label="Page navigation">
clerk-test.html	154	action-surface	  <a class="vvip-public-page-return-link" href="index.html" data-vvip-action="return-home" aria-label="Return to home page">الرئيسية</a>
clerk-test.html	177	action-surface	    window.addEventListener("load", async function () {
clerk-test.html	178	action-surface	      const authArea = document.getElementById("auth-area");
clerk-test.html	194	action-surface	                <div id="user-button"></div>
clerk-test.html	196	action-surface	                  <a class="vvip-btn" href="clerk-private-profile.html">فتح البروفايل الخاص</a>
clerk-test.html	197	action-surface	                  <button type="button" class="vvip-btn secondary" id="sign-out-btn">تسجيل الخروج</button>
clerk-test.html	209	action-surface	            document.getElementById("user-email").textContent = email;
clerk-test.html	211	action-surface	            const userButtonDiv = document.getElementById("user-button");
clerk-test.html	212	action-surface	            window.Clerk.mountUserButton(userButtonDiv);
clerk-test.html	214	action-surface	            document.getElementById("sign-out-btn").addEventListener("click", async function () {
clerk-test.html	216	action-surface	              window.location.reload();
clerk-test.html	223	action-surface	          const signInDiv = document.getElementById("sign-in");
clerk-test.html	225	action-surface	          const clerkRedirectUrl = window.location.origin + "/clerk-test.html";
data-deletion.html	48	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
data-deletion.html	54	action-surface	      <p>If you want your data deleted, submit a deletion request using one of the following methods:</p>
email-templates/confirm-email-en.html	100	action-surface	        /* CTA Button */
email-templates/confirm-email-en.html	106	action-surface	        .cta-button {
email-templates/confirm-email-en.html	119	action-surface	        .cta-button:hover {
email-templates/confirm-email-en.html	223	action-surface	            .cta-button {
email-templates/confirm-email-en.html	257	action-surface	                One simple step is all that stands between you and an extraordinary shopping experience. To secure your account and start exploring our exclusive world, please activate your account by clicking the button below:
email-templates/confirm-email-en.html	260	action-surface	            <!-- CTA Button -->
email-templates/confirm-email-en.html	262	action-surface	                <a href="{{ .ConfirmationURL }}" class="cta-button">
email-templates/confirm-email-en.html	270	action-surface	                <a href="{{ .ConfirmationURL }}">{{ .ConfirmationURL }}</a>
email-templates/confirm-email-en.html	288	action-surface	                <a href="https://vvipautoparts-blip.github.io/TIGER-VVIP/">Official Website</a>
email-templates/confirm-email-en.html	289	action-surface	                <a href="https://vvipautoparts-blip.github.io/TIGER-VVIP/#contact">Contact Us</a>
email-templates/confirm-email-en.html	290	action-surface	                <a href="https://vvipautoparts-blip.github.io/TIGER-VVIP/#privacy">Privacy Policy</a>
email-templates/confirm-email.html	100	action-surface	        /* CTA Button */
email-templates/confirm-email.html	106	action-surface	        .cta-button {
email-templates/confirm-email.html	119	action-surface	        .cta-button:hover {
email-templates/confirm-email.html	223	action-surface	            .cta-button {
email-templates/confirm-email.html	274	action-surface	            <!-- CTA Button -->
email-templates/confirm-email.html	276	action-surface	                <a href="{{ .ConfirmationURL }}" class="cta-button">
email-templates/confirm-email.html	284	action-surface	                <a href="{{ .ConfirmationURL }}">{{ .ConfirmationURL }}</a>
email-templates/confirm-email.html	302	action-surface	                <a href="https://vvipautoparts-blip.github.io/TIGER-VVIP/">الموقع الرسمي</a>
email-templates/confirm-email.html	303	action-surface	                <a href="https://vvipautoparts-blip.github.io/TIGER-VVIP/#contact">تواصل معنا</a>
email-templates/confirm-email.html	304	action-surface	                <a href="https://vvipautoparts-blip.github.io/TIGER-VVIP/#privacy">سياسة الخصوصية</a>
index.html	10	action-surface	  <link rel="manifest" href="manifest.webmanifest" />
index.html	11	action-surface	  <link rel="preconnect" href="https://fonts.googleapis.com" />
index.html	12	action-surface	  <link rel="preconnect" href="https://fonts.gstatic.com" crossorigin />
index.html	13	action-surface	  <link href="https://fonts.googleapis.com/css2?family=Cairo:wght@400;600;700;800&family=Roboto:wght@400;700&display=swap" rel="stylesheet" />
index.html	14	action-surface	  <link rel="stylesheet" href="styles.css?v=20260707-vvip-gate" />
index.html	29	action-surface	  <link rel="stylesheet" href="vvip-identity.css?v=20260708-7-1" />
index.html	30	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
index.html	37	action-surface	      <div class="entry-lang-switch" role="group" aria-label="اختيار اللغة">
index.html	38	action-surface	        <button class="entry-lang-btn" type="button" data-auth-lang="ar" aria-pressed="true">العربية</button>
index.html	39	action-surface	        <button class="entry-lang-btn" type="button" data-auth-lang="en" aria-pressed="false">English</button>
index.html	47	action-surface	    <section class="fb-brand-col vvip-gate-brand" aria-label="VVIP TIGER Gate">
index.html	59	action-surface	      <div class="vvip-gate-points" aria-label="مميزات الدخول">
index.html	76	action-surface	    <section class="fb-card" aria-label="auth card">
index.html	88	action-surface	      <!-- Login Button -->
index.html	89	action-surface	      <button id="email-login-btn" class="fb-login-btn" type="button">تسجيل الدخول</button>
index.html	92	action-surface	      <a href="reset-password.html" class="fb-forgot reset-link">هل نسيت كلمة المرور؟</a>
index.html	99	action-surface	        <button id="google-btn" class="fb-social-btn fb-google-btn" type="button" aria-label="Google sign in">
index.html	107	action-surface	        </button>
index.html	108	action-surface	        <button id="facebook-btn" class="fb-social-btn fb-fb-btn" type="button" aria-label="Facebook sign in">
index.html	114	action-surface	        </button>
index.html	122	action-surface	        <button id="continue-public-btn" class="fb-login-btn" type="button">متابعة إلى الصفحة العامة</button>
index.html	124	action-surface	          <button id="avatar-private-btn" class="avatar-btn" type="button" aria-label="الانتقال إلى البروفايل الخاص">
index.html	126	action-surface	          </button>
index.html	127	action-surface	          <button id="logout-btn" class="fb-logout-link" type="button" style="display:none;">تسجيل الخروج</button>
index.html	133	action-surface	        <a href="index.html" data-page-target="index"></a>
index.html	134	action-surface	        <a href="public-profile.html" data-page-target="public-profile"></a>
index.html	135	action-surface	        <a href="clerk-private-profile.html" data-page-target="private-profile"></a>
index.html	136	action-surface	        <a href="reset-password.html" data-page-target="reset-password"></a>
index.html	147	action-surface	      <a href="terms-of-service.html">الشروط</a>
index.html	148	action-surface	      <a href="privacy-policy.html">الخصوصية</a>
index.html	149	action-surface	      <a href="data-deletion.html">حذف البيانات</a>
index.html	160	action-surface	      <button id="close-verification" class="btn-primary" type="button">فهمت</button>
index.html	170	action-surface	        <button id="confirm-logout-btn" class="btn-primary" type="button">تسجيل الخروج</button>
index.html	171	action-surface	        <button id="cancel-logout-btn" class="btn-secondary" type="button">إلغاء</button>
privacy-policy.html	48	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
private-profile.html	10	action-surface	  <link href="https://fonts.googleapis.com/css2?family=Cairo:wght@400;600;700;800&display=swap" rel="stylesheet" />
private-profile.html	11	action-surface	  <link rel="stylesheet" href="vvip-identity.css?v=20260708-7-1" />
private-profile.html	82	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
private-profile.html	85	action-surface	<nav class="vvip-journey-bar" aria-label="Private profile journey navigation">
private-profile.html	86	action-surface	  <a class="vvip-journey-link" href="index.html" data-vvip-action="go-home" aria-label="Go to home page">الرئيسية</a>
private-profile.html	87	action-surface	  <a class="vvip-journey-link" href="public-profile.html" data-vvip-action="go-public-profile" aria-label="Go to public profile">البروفايل العام</a>
private-profile.html	88	action-surface	  <button class="vvip-journey-link vvip-journey-signout" type="button" data-vvip-action="private-profile-signout" aria-label="Sign out">تسجيل الخروج</button>
private-profile.html	98	action-surface	    <a id="redirect-link" href="clerk-private-profile.html">فتح البروفايل الرسمي الآن</a>
private-profile.html	107	action-surface	      if (window.location.search) {
private-profile.html	108	action-surface	        extra += window.location.search;
private-profile.html	111	action-surface	      if (window.location.hash) {
private-profile.html	112	action-surface	        extra += window.location.hash;
private-profile.html	119	action-surface	      var link = document.getElementById("redirect-link");
private-profile.html	125	action-surface	        window.location.replace(target);
private-profile.html	135	action-surface	    window.location.href = "index.html";
private-profile.html	152	action-surface	  document.addEventListener("click", function (event) {
public-profile.html	9	action-surface	  <link rel="preconnect" href="https://fonts.googleapis.com" />
public-profile.html	10	action-surface	  <link rel="preconnect" href="https://fonts.gstatic.com" crossorigin />
public-profile.html	11	action-surface	  <link href="https://fonts.googleapis.com/css2?family=Cairo:wght@400;600;700;800&display=swap" rel="stylesheet" />
public-profile.html	12	action-surface	  <link rel="stylesheet" href="styles.css?v=20260703e" />
public-profile.html	13	action-surface	  <link rel="stylesheet" href="enhanced-components.css?v=20260703f" />
public-profile.html	144	action-surface	.vvip-clean-header button,
public-profile.html	145	action-surface	.vvip-public-shell button,
public-profile.html	158	action-surface	.vvip-nav button,
public-profile.html	160	action-surface	.vvip-header-tools button {
public-profile.html	172	action-surface	.vvip-filters button {
public-profile.html	500	action-surface	.vvip-compose-card button,
public-profile.html	501	action-surface	.vvip-post-actions button:first-child,
public-profile.html	680	action-surface	  <link rel="stylesheet" href="vvip-identity.css?v=20260708-7-1" />
public-profile.html	681	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
public-profile.html	686	action-surface	<section class="vvip-shell-header" aria-label="VVIP TIGER header zone">
public-profile.html	687	action-surface	  <section class="vvip-clean-header" aria-label="VVIP TIGER header">
public-profile.html	695	action-surface	    <label class="vvip-search-wrap" aria-label="ابحث في الصفحة العامة">
public-profile.html	699	action-surface	    <nav class="vvip-nav" aria-label="التنقل الرئيسي">
public-profile.html	700	action-surface	      <a href="public-profile.html" aria-current="page">🏠</a>
public-profile.html	701	action-surface	      <button id="desktop-nav-video" type="button" aria-label="الفيديو">🎥</button>
public-profile.html	702	action-surface	      <button id="desktop-nav-members" type="button" aria-label="المجتمع">👥</button>
public-profile.html	703	action-surface	      <button id="desktop-nav-shortcuts" type="button" aria-label="الاختصارات">💼</button>
public-profile.html	704	action-surface	      <button id="desktop-nav-ai" type="button" aria-label="الذكاء الاصطناعي">✨</button>
public-profile.html	706	action-surface	    <div class="vvip-header-tools" aria-label="أدوات الحساب">
public-profile.html	707	action-surface	      <button id="desktop-notifications-btn" type="button" aria-label="الإشعارات">🔔</button>
public-profile.html	708	action-surface	      <button id="desktop-messages-btn" type="button" aria-label="الرسائل">💬</button>
public-profile.html	709	action-surface	      <a href="clerk-private-profile.html" aria-label="الملف الشخصي">👤</a>
public-profile.html	712	action-surface	  <div class="vvip-filters" aria-label="فلاتر سريعة">
public-profile.html	713	action-surface	    <button type="button" data-vvip-action="public-profile-control-1" aria-label="الكل">الكل</button>
public-profile.html	714	action-surface	    <button type="button" data-vvip-action="public-profile-control-2" aria-label="المتابعين">المتابعين</button>
public-profile.html	715	action-surface	    <button type="button" data-vvip-action="public-profile-control-3" aria-label="فيديو">فيديو</button>
public-profile.html	716	action-surface	    <button type="button" data-vvip-action="public-profile-control-4" aria-label="صور">صور</button>
public-profile.html	717	action-surface	    <button type="button" data-vvip-action="public-profile-control-5" aria-label="فعاليات">فعاليات</button>
public-profile.html	721	action-surface	<section class="vvip-public-shell" aria-label="VVIP TIGER public feed">
public-profile.html	722	action-surface	  <aside class="vvip-side-column" aria-label="عمود الأعضاء النشطين">
public-profile.html	726	action-surface	        <button id="desktop-members-view-all" type="button">عرض الكل</button>
public-profile.html	765	action-surface	  <main class="vvip-main-column" aria-label="العمود الرئيسي">
public-profile.html	769	action-surface	        <button id="desktop-stories-archive" type="button">الأرشيف</button>
public-profile.html	772	action-surface	        <article class="desktop-story-card desktop-add-story-card" role="button" tabindex="0" data-story-action="add" data-story-label="إضافة قصة">
public-profile.html	782	action-surface	        <article class="desktop-story-card" role="button" tabindex="0" data-story-label="مباشر">
public-profile.html	792	action-surface	        <article class="desktop-story-card" role="button" tabindex="0" data-story-label="عرض">
public-profile.html	802	action-surface	        <article class="desktop-story-card" role="button" tabindex="0" data-story-label="إنجاز">
public-profile.html	812	action-surface	        <article class="desktop-story-card" role="button" tabindex="0" data-story-label="VIP">
public-profile.html	831	action-surface	        <button id="desktop-compose-photo" class="vvip-compose-action" type="button">📷 صورة</button>
public-profile.html	832	action-surface	        <button id="desktop-compose-video" class="vvip-compose-action" type="button">🎥 فيديو</button>
public-profile.html	833	action-surface	        <button id="desktop-compose-ai" class="vvip-compose-action" type="button">✨ AI</button>
public-profile.html	834	action-surface	        <button id="desktop-compose-publish" class="vvip-compose-action vvip-compose-publish" type="button">نشر الآن</button>
public-profile.html	838	action-surface	    <section id="desktop-post-stream" class="vvip-post-stream" aria-label="المنشورات">
public-profile.html	848	action-surface	          <button class="post-menu" type="button">⋯</button>
public-profile.html	853	action-surface	          <button class="like-btn" type="button" data-liked="false">👍 <span>0</span></button>
public-profile.html	854	action-surface	          <button class="comment-btn" type="button">💬 <span>0</span></button>
public-profile.html	855	action-surface	          <button class="share-btn" type="button">↗ <span>0</span></button>
public-profile.html	860	action-surface	          <button class="vvip-comment-send desktop-comment-send" type="button">إرسال</button>
public-profile.html	874	action-surface	          <button class="post-menu" type="button">⋯</button>
public-profile.html	878	action-surface	          <button class="follow-btn" type="button" data-following="false">👍 متابعة</button>
public-profile.html	879	action-surface	          <button class="comment-btn" type="button">💬 <span>0</span></button>
public-profile.html	880	action-surface	          <button class="save-btn" type="button" data-saved="false">🔖 حفظ</button>
public-profile.html	885	action-surface	          <button class="vvip-comment-send desktop-comment-send" type="button">إرسال</button>
public-profile.html	892	action-surface	  <aside class="vvip-shortcut-column" aria-label="عمود الاختصارات والاقتراحات">
public-profile.html	896	action-surface	        <button id="desktop-shortcuts-manage" type="button">إدارة</button>
public-profile.html	899	action-surface	        <button class="desktop-shortcut-btn" type="button">📦 عروض اليوم</button>
public-profile.html	900	action-surface	        <button class="desktop-shortcut-btn" type="button">🚚 حالة الشحن</button>
public-profile.html	901	action-surface	        <button class="desktop-shortcut-btn" type="button">🛡 مجتمع الثقة</button>
public-profile.html	902	action-surface	        <button class="desktop-shortcut-btn" type="button">⭐ ملفات VIP</button>
public-profile.html	916	action-surface	<main class="mobile-frame" aria-label="الصفحة العامة">
public-profile.html	922	action-surface	          <label class="fb-topbar-search-wrap" for="feed-search" aria-label="بحث">
public-profile.html	927	action-surface	        <nav class="fb-topbar-nav" aria-label="التنقل الرئيسي">
public-profile.html	928	action-surface	          <button class="fb-topbar-tab active" type="button" aria-label="الرئيسية">
public-profile.html	930	action-surface	          </button>
public-profile.html	931	action-surface	          <button class="fb-topbar-tab" type="button" aria-label="مقاطع الفيديو">
public-profile.html	933	action-surface	          </button>
public-profile.html	934	action-surface	          <button class="fb-topbar-tab" type="button" aria-label="السوق">
public-profile.html	936	action-surface	          </button>
